$spouts,$max_spout,$sorters,$emit_freq,$chunk_size,$message_size,<$throughput
1,10,2,60,2.00E+06,1.00E+05,1297.9
1,10,2,60,1.00E+07,1000,25183
1,10,2,60,1.00E+07,10000,9078.2
1,10,2,60,1.00E+07,1.00E+05,876.5
1,10,2,120,1.00E+05,1000,27483
1,10,2,120,1.00E+05,10000,11558
1,10,2,120,1.00E+05,1.00E+05,996
1,10,2,120,1.00E+06,1000,26621
1,10,2,120,1.00E+06,10000,9221.7
1,10,2,120,1.00E+06,1.00E+05,878.1
1,10,2,120,2.00E+06,1000,27433
1,10,2,120,2.00E+06,10000,8535.6
1,10,2,120,2.00E+06,1.00E+05,1442.1
1,10,2,120,1.00E+07,1000,26480
1,10,2,120,1.00E+07,10000,9055
1,10,2,120,1.00E+07,1.00E+05,1086.6
1,10,2,300,1.00E+05,1000,28697
1,10,2,300,1.00E+05,10000,11962
1,10,2,300,1.00E+05,1.00E+05,1403.9
1,10,2,300,1.00E+06,1000,28461
1,10,2,300,1.00E+06,10000,9285.6
1,10,2,300,1.00E+06,1.00E+05,1134.6
1,10,2,300,2.00E+06,1000,28099
1,10,2,300,2.00E+06,10000,8034.7
1,10,2,300,2.00E+06,1.00E+05,927
1,10,2,300,1.00E+07,1000,26698
1,10,2,300,1.00E+07,10000,7788.4
1,10,2,300,1.00E+07,1.00E+05,916.08
1,10,3,1,1.00E+05,1000,36574
1,10,3,1,1.00E+05,10000,36421
1,10,3,1,1.00E+05,1.00E+05,36570
1,10,3,1,1.00E+06,1000,35063
1,10,3,1,1.00E+06,10000,36597
1,10,3,1,1.00E+06,1.00E+05,36563
1,10,3,1,2.00E+06,1000,33987
1,10,3,1,2.00E+06,10000,35831
1,10,3,1,2.00E+06,1.00E+05,35769
1,10,3,1,1.00E+07,1000,30535
1,10,3,1,1.00E+07,10000,31722
1,10,3,1,1.00E+07,1.00E+05,31394
1,10,3,10,1.00E+05,1000,36714
1,10,3,10,1.00E+05,10000,35764
1,10,3,10,1.00E+05,1.00E+05,36635
1,10,3,10,1.00E+06,1000,36006
1,10,3,10,1.00E+06,10000,37902
1,10,3,10,1.00E+06,1.00E+05,36538
1,10,3,10,2.00E+06,1000,38129
1,10,3,10,2.00E+06,10000,35933
1,10,3,10,2.00E+06,1.00E+05,36540
1,10,3,10,1.00E+07,1000,36304
1,10,3,10,1.00E+07,10000,34169
1,10,3,10,1.00E+07,1.00E+05,34786
1,10,3,60,1.00E+05,1000,36420
1,10,3,60,1.00E+05,10000,36629
1,10,3,60,1.00E+05,1.00E+05,37340
1,10,3,60,1.00E+06,1000,37217
1,10,3,60,1.00E+06,10000,36596
1,10,3,60,1.00E+06,1.00E+05,36916
1,10,3,60,2.00E+06,1000,38032
1,10,3,60,2.00E+06,10000,37651
1,10,3,60,2.00E+06,1.00E+05,37759
1,10,3,60,1.00E+07,1000,36952
1,10,3,60,1.00E+07,10000,35424
1,10,3,60,1.00E+07,1.00E+05,36881
1,10,3,120,1.00E+05,1000,37948
1,10,3,120,1.00E+05,10000,37671
1,10,3,120,1.00E+05,1.00E+05,36839
1,10,3,120,1.00E+06,1000,37244
1,10,3,120,1.00E+06,10000,36449
1,10,3,120,1.00E+06,1.00E+05,37536
1,10,3,120,2.00E+06,1000,35696
1,10,3,120,2.00E+06,10000,37311
1,10,3,120,2.00E+06,1.00E+05,37562
1,10,3,120,1.00E+07,1000,36457
1,10,3,120,1.00E+07,10000,37154
1,10,3,120,1.00E+07,1.00E+05,36278
1,10,3,300,1.00E+05,1000,36512
1,10,3,300,1.00E+05,10000,37531
1,10,3,300,1.00E+05,1.00E+05,36438
1,10,3,300,1.00E+06,1000,37046
1,10,3,300,1.00E+06,10000,36451
1,10,3,300,1.00E+06,1.00E+05,36947
1,10,3,300,2.00E+06,1000,37724
1,10,3,300,2.00E+06,10000,35939
1,10,3,300,2.00E+06,1.00E+05,38199
1,10,3,300,1.00E+07,1000,35782
1,10,3,300,1.00E+07,10000,34570
1,10,3,300,1.00E+07,1.00E+05,37545
1,10,6,1,1.00E+05,1000,36975
1,10,6,1,1.00E+05,10000,36283
1,10,6,1,1.00E+05,1.00E+05,36576
1,10,6,1,1.00E+06,1000,35920
1,10,6,1,1.00E+06,10000,36679
1,10,6,1,1.00E+06,1.00E+05,35804
1,10,6,1,2.00E+06,1000,35816
1,10,6,1,2.00E+06,10000,36061
1,10,6,1,2.00E+06,1.00E+05,36210
1,10,6,1,1.00E+07,1000,28405
1,10,6,1,1.00E+07,10000,26976
1,10,6,1,1.00E+07,1.00E+05,30408
1,10,6,10,1.00E+05,1000,37954
1,10,6,10,1.00E+05,10000,37038
1,10,6,10,1.00E+05,1.00E+05,37941
1,10,6,10,1.00E+06,1000,36497
1,10,6,10,1.00E+06,10000,35386
1,10,6,10,1.00E+06,1.00E+05,35664
1,10,6,10,2.00E+06,1000,37295
1,10,6,10,2.00E+06,10000,37743
1,10,6,10,2.00E+06,1.00E+05,37674
1,10,6,10,1.00E+07,1000,33139
1,10,6,10,1.00E+07,10000,33912
1,10,6,10,1.00E+07,1.00E+05,36125
1,10,6,60,1.00E+05,1000,37956
1,10,6,60,1.00E+05,10000,37079
1,10,6,60,1.00E+05,1.00E+05,37054
1,10,6,60,1.00E+06,1000,36179
1,10,6,60,1.00E+06,10000,37170
1,10,6,60,1.00E+06,1.00E+05,37791
1,10,6,60,2.00E+06,1000,36099
1,10,6,60,2.00E+06,10000,37801
1,10,6,60,2.00E+06,1.00E+05,36736
1,10,6,60,1.00E+07,1000,37652
1,10,6,60,1.00E+07,10000,35763
1,10,6,60,1.00E+07,1.00E+05,34316
1,10,6,120,1.00E+05,1000,37585
1,10,6,120,1.00E+05,10000,35565
1,10,6,120,1.00E+05,1.00E+05,36502
1,10,6,120,1.00E+06,1000,37420
1,10,6,120,1.00E+06,10000,36492
1,10,6,120,1.00E+06,1.00E+05,36592
1,10,6,120,2.00E+06,1000,37556
1,10,6,120,2.00E+06,10000,36481
1,10,6,120,2.00E+06,1.00E+05,37451
1,10,6,120,1.00E+07,1000,37170
1,10,6,120,1.00E+07,10000,37449
1,10,6,120,1.00E+07,1.00E+05,36707
1,10,6,300,1.00E+05,1000,37534
1,10,6,300,1.00E+05,10000,37138
1,10,6,300,1.00E+05,1.00E+05,36151
1,10,6,300,1.00E+06,1000,37649
1,10,6,300,1.00E+06,10000,38504
1,10,6,300,1.00E+06,1.00E+05,36624
1,10,6,300,2.00E+06,1000,37135
1,10,6,300,2.00E+06,10000,34558
1,10,6,300,2.00E+06,1.00E+05,36916
1,10,6,300,1.00E+07,1000,36614
1,10,6,300,1.00E+07,10000,35341
1,10,6,300,1.00E+07,1.00E+05,37225
1,10,9,1,1.00E+05,1000,35656
1,10,9,1,1.00E+05,10000,36589
1,10,9,1,1.00E+05,1.00E+05,37183
1,10,9,1,1.00E+06,1000,35801
1,10,9,1,1.00E+06,10000,35531
1,10,9,1,1.00E+06,1.00E+05,36131
1,10,9,1,2.00E+06,1000,35150
1,10,9,1,2.00E+06,10000,35740
1,10,9,1,2.00E+06,1.00E+05,35011
1,10,9,1,1.00E+07,1000,27569
1,10,9,1,1.00E+07,10000,27083
1,10,9,1,1.00E+07,1.00E+05,27357
1,10,9,10,1.00E+05,1000,35913
1,10,9,10,1.00E+05,10000,37133
1,10,9,10,1.00E+05,1.00E+05,37386
1,10,9,10,1.00E+06,1000,38073
1,10,9,10,1.00E+06,10000,35689
1,10,9,10,1.00E+06,1.00E+05,36069
1,10,9,10,2.00E+06,1000,37031
1,10,9,10,2.00E+06,10000,36411
1,10,9,10,2.00E+06,1.00E+05,37235
1,10,9,10,1.00E+07,1000,34577
1,10,9,10,1.00E+07,10000,34504
1,10,9,10,1.00E+07,1.00E+05,35518
1,10,9,60,1.00E+05,1000,36653
1,10,9,60,1.00E+05,10000,35944
1,10,9,60,1.00E+05,1.00E+05,36341
1,10,9,60,1.00E+06,1000,38089
1,10,9,60,1.00E+06,10000,36762
1,10,9,60,1.00E+06,1.00E+05,37993
1,10,9,60,2.00E+06,1000,37626
1,10,9,60,2.00E+06,10000,37838
1,10,9,60,2.00E+06,1.00E+05,36792
1,10,9,60,1.00E+07,1000,34882
1,10,9,60,1.00E+07,10000,34838
1,10,9,60,1.00E+07,1.00E+05,35470
1,10,9,120,1.00E+05,1000,36133
1,10,9,120,1.00E+05,10000,37357
1,10,9,120,1.00E+05,1.00E+05,38260
1,10,9,120,1.00E+06,1000,38269
1,10,9,120,1.00E+06,10000,37106
1,10,9,120,1.00E+06,1.00E+05,37066
1,10,9,120,2.00E+06,1000,36255
1,10,9,120,2.00E+06,10000,37059
1,10,9,120,2.00E+06,1.00E+05,37743
1,10,9,120,1.00E+07,1000,34743
1,10,9,120,1.00E+07,10000,33198
1,10,9,120,1.00E+07,1.00E+05,33486
1,10,9,300,1.00E+05,1000,38124
1,10,9,300,1.00E+05,10000,36806
1,10,9,300,1.00E+05,1.00E+05,37734
1,10,9,300,1.00E+06,1000,34935
1,10,9,300,1.00E+06,10000,37506
1,10,9,300,1.00E+06,1.00E+05,38029
1,10,9,300,2.00E+06,1000,36262
1,10,9,300,2.00E+06,10000,37542
1,10,9,300,2.00E+06,1.00E+05,37642
1,10,9,300,1.00E+07,1000,34130
1,10,9,300,1.00E+07,10000,35357
1,10,9,300,1.00E+07,1.00E+05,34457
1,10,12,1,1.00E+05,1000,35711
1,10,12,1,1.00E+05,10000,34135
1,10,12,1,1.00E+05,1.00E+05,37292
1,10,12,1,1.00E+06,1000,34993
1,10,12,1,1.00E+06,10000,36057
1,10,12,1,1.00E+06,1.00E+05,35579
1,10,12,1,2.00E+06,1000,35155
1,10,12,1,2.00E+06,10000,34041
1,10,12,1,2.00E+06,1.00E+05,33319
1,10,12,1,1.00E+07,1000,24417
1,10,12,1,1.00E+07,10000,24418
1,10,12,1,1.00E+07,1.00E+05,22199
1,10,12,10,1.00E+05,1000,36741
1,10,12,10,1.00E+05,10000,37520
1,10,12,10,1.00E+05,1.00E+05,38515
1,10,12,10,1.00E+06,1000,36107
1,10,12,10,1.00E+06,10000,36475
1,10,12,10,1.00E+06,1.00E+05,36694
1,10,12,10,2.00E+06,1000,36986
1,10,12,10,2.00E+06,10000,35018
1,10,12,10,2.00E+06,1.00E+05,36860
1,10,12,10,1.00E+07,1000,32929
1,10,12,10,1.00E+07,10000,33516
1,10,12,10,1.00E+07,1.00E+05,34301
1,10,12,60,1.00E+05,1000,37473
1,10,12,60,1.00E+05,10000,37089
1,10,12,60,1.00E+05,1.00E+05,37407
1,10,12,60,1.00E+06,1000,36737
1,10,12,60,1.00E+06,10000,38399
1,10,12,60,1.00E+06,1.00E+05,37168
1,10,12,60,2.00E+06,1000,36697
1,10,12,60,2.00E+06,10000,37574
1,10,12,60,2.00E+06,1.00E+05,37672
1,10,12,60,1.00E+07,1000,35668
1,10,12,60,1.00E+07,10000,35408
1,10,12,60,1.00E+07,1.00E+05,36101
1,10,12,120,1.00E+05,1000,35846
1,10,12,120,1.00E+05,10000,36520
1,10,12,120,1.00E+05,1.00E+05,36346
1,10,12,120,1.00E+06,1000,37165
1,10,12,120,1.00E+06,10000,38031
1,10,12,120,1.00E+06,1.00E+05,37801
1,10,12,120,2.00E+06,1000,36759
1,10,12,120,2.00E+06,10000,37285
1,10,12,120,2.00E+06,1.00E+05,36540
1,10,12,120,1.00E+07,1000,33507
1,10,12,120,1.00E+07,10000,35409
1,10,12,120,1.00E+07,1.00E+05,35519
1,10,12,300,1.00E+05,1000,37740
1,10,12,300,1.00E+05,10000,37614
1,10,12,300,1.00E+05,1.00E+05,37558
1,10,12,300,1.00E+06,1000,38290
1,10,12,300,1.00E+06,10000,37448
1,10,12,300,1.00E+06,1.00E+05,37170
1,10,12,300,2.00E+06,1000,37940
1,10,12,300,2.00E+06,10000,36631
1,10,12,300,2.00E+06,1.00E+05,37680
1,10,12,300,1.00E+07,1000,35561
1,10,12,300,1.00E+07,10000,36515
1,10,12,300,1.00E+07,1.00E+05,35364
1,10,15,1,1.00E+05,1000,35784
1,10,15,1,1.00E+05,10000,36880
1,10,15,1,1.00E+05,1.00E+05,36158
1,10,15,1,1.00E+06,1000,35445
1,10,15,1,1.00E+06,10000,34742
1,10,15,1,1.00E+06,1.00E+05,35531
1,10,15,1,2.00E+06,1000,32903
1,10,15,1,2.00E+06,10000,34860
1,10,15,1,2.00E+06,1.00E+05,34314
1,10,15,1,1.00E+07,1000,19328
1,10,15,1,1.00E+07,10000,18370
1,10,15,1,1.00E+07,1.00E+05,20135
1,10,15,10,1.00E+05,1000,36832
1,10,15,10,1.00E+05,10000,36603
1,10,15,10,1.00E+05,1.00E+05,37988
1,10,15,10,1.00E+06,1000,37373
1,10,15,10,1.00E+06,10000,37770
1,10,15,10,1.00E+06,1.00E+05,36865
1,10,15,10,2.00E+06,1000,37537
1,10,15,10,2.00E+06,10000,36096
1,10,15,10,2.00E+06,1.00E+05,37197
1,10,15,10,1.00E+07,1000,32014
1,10,15,10,1.00E+07,10000,34365
1,10,15,10,1.00E+07,1.00E+05,33366
1,10,15,60,1.00E+05,1000,33633
1,10,15,60,1.00E+05,10000,37881
1,10,15,60,1.00E+05,1.00E+05,37592
1,10,15,60,1.00E+06,1000,37289
1,10,15,60,1.00E+06,10000,35994
1,10,15,60,1.00E+06,1.00E+05,36347
1,10,15,60,2.00E+06,1000,36737
1,10,15,60,2.00E+06,10000,35363
1,10,15,60,2.00E+06,1.00E+05,37817
1,10,15,60,1.00E+07,1000,36695
1,10,15,60,1.00E+07,10000,34614
1,10,15,60,1.00E+07,1.00E+05,34801
1,10,15,120,1.00E+05,1000,37312
1,10,15,120,1.00E+05,10000,36440
1,10,15,120,1.00E+05,1.00E+05,36877
1,10,15,120,1.00E+06,1000,36736
1,10,15,120,1.00E+06,10000,36303
1,10,15,120,1.00E+06,1.00E+05,36304
1,10,15,120,2.00E+06,1000,36991
1,10,15,120,2.00E+06,10000,36783
1,10,15,120,2.00E+06,1.00E+05,36238
1,10,15,120,1.00E+07,1000,33446
1,10,15,120,1.00E+07,10000,33963
1,10,15,120,1.00E+07,1.00E+05,36128
1,10,15,300,1.00E+05,1000,37499
1,10,15,300,1.00E+05,10000,37141
1,10,15,300,1.00E+05,1.00E+05,37479
1,10,15,300,1.00E+06,1000,37064
1,10,15,300,1.00E+06,10000,36886
1,10,15,300,1.00E+06,1.00E+05,37356
1,10,15,300,2.00E+06,1000,36750
1,10,15,300,2.00E+06,10000,37030
1,10,15,300,2.00E+06,1.00E+05,36197
1,10,15,300,1.00E+07,1000,36549
1,10,15,300,1.00E+07,10000,36442
1,10,15,300,1.00E+07,1.00E+05,37533
1,10,18,1,1.00E+05,1000,35684
1,10,18,1,1.00E+05,10000,34974
1,10,18,1,1.00E+05,1.00E+05,36513
1,10,18,1,1.00E+06,1000,35812
1,10,18,1,1.00E+06,10000,35759
1,10,18,1,1.00E+06,1.00E+05,35751
1,10,18,1,2.00E+06,1000,33076
1,10,18,1,2.00E+06,10000,35306
1,10,18,1,2.00E+06,1.00E+05,33251
1,10,18,1,1.00E+07,1000,17499
1,10,18,1,1.00E+07,10000,17792
1,10,18,1,1.00E+07,1.00E+05,16499
1,10,18,10,1.00E+05,1000,38034
1,10,18,10,1.00E+05,10000,35698
1,10,18,10,1.00E+05,1.00E+05,37873
1,10,18,10,1.00E+06,1000,36401
1,10,18,10,1.00E+06,10000,35673
1,10,18,10,1.00E+06,1.00E+05,36979
1,10,18,10,2.00E+06,1000,36733
1,10,18,10,2.00E+06,10000,35915
1,10,18,10,2.00E+06,1.00E+05,34445
1,10,18,10,1.00E+07,1000,32089
1,10,18,10,1.00E+07,10000,32951
1,10,18,10,1.00E+07,1.00E+05,31948
1,10,18,60,1.00E+05,1000,36649
1,10,18,60,1.00E+05,10000,36893
1,10,18,60,1.00E+05,1.00E+05,37167
1,10,18,60,1.00E+06,1000,36699
1,10,18,60,1.00E+06,10000,37263
1,10,18,60,1.00E+06,1.00E+05,36330
1,10,18,60,2.00E+06,1000,36401
1,10,18,60,2.00E+06,10000,34832
1,10,18,60,2.00E+06,1.00E+05,34555
1,10,18,60,1.00E+07,1000,34386
1,10,18,60,1.00E+07,10000,34816
1,10,18,60,1.00E+07,1.00E+05,34572
1,10,18,120,1.00E+05,1000,37196
1,10,18,120,1.00E+05,10000,36228
1,10,18,120,1.00E+05,1.00E+05,37037
1,10,18,120,1.00E+06,1000,35870
1,10,18,120,1.00E+06,10000,36001
1,10,18,120,1.00E+06,1.00E+05,36741
1,10,18,120,2.00E+06,1000,35997
1,10,18,120,2.00E+06,10000,34926
1,10,18,120,2.00E+06,1.00E+05,34893
1,10,18,120,1.00E+07,1000,35775
1,10,18,120,1.00E+07,10000,34092
1,10,18,120,1.00E+07,1.00E+05,33965
1,10,18,300,1.00E+05,1000,37299
1,10,18,300,1.00E+05,10000,38145
1,10,18,300,1.00E+05,1.00E+05,36039
1,10,18,300,1.00E+06,1000,36740
1,10,18,300,1.00E+06,10000,37092
1,10,18,300,1.00E+06,1.00E+05,36942
1,10,18,300,2.00E+06,1000,35231
1,10,18,300,2.00E+06,10000,37294
1,10,18,300,2.00E+06,1.00E+05,35935
1,10,18,300,1.00E+07,1000,34613
1,10,18,300,1.00E+07,10000,35746
1,10,18,300,1.00E+07,1.00E+05,35131
1,100,1,1,1.00E+05,1000,49325
1,100,1,1,1.00E+05,10000,3478.2
1,100,1,1,1.00E+05,1.00E+05,85.353
1,100,1,1,1.00E+06,1000,10772
1,100,1,1,1.00E+06,10000,1077.7
1,100,1,1,1.00E+06,1.00E+05,87.562
1,100,1,1,2.00E+06,1000,10565
1,100,1,1,2.00E+06,10000,856.35
1,100,1,1,2.00E+06,1.00E+05,83.412
1,100,1,1,1.00E+07,1000,10400
1,100,1,1,1.00E+07,10000,1088
1,100,1,1,1.00E+07,1.00E+05,95.071
1,100,1,10,1.00E+05,1000,32965
1,100,1,10,1.00E+05,10000,5639.3
1,100,1,10,1.00E+05,1.00E+05,454.67
1,100,1,10,1.00E+06,1000,32650
1,100,1,10,1.00E+06,10000,4688.8
1,100,1,10,1.00E+06,1.00E+05,491.14
1,100,1,10,2.00E+06,1000,31166
1,100,1,10,2.00E+06,10000,3964.7
1,100,1,10,2.00E+06,1.00E+05,397.53
1,100,1,10,1.00E+07,1000,30301
1,100,1,10,1.00E+07,10000,4378.8
1,100,1,10,1.00E+07,1.00E+05,455.69
1,100,1,60,1.00E+05,1000,36152
1,100,1,60,1.00E+05,10000,6141.1
1,100,1,60,1.00E+05,1.00E+05,436.75
1,100,1,60,1.00E+06,1000,34461
1,100,1,60,1.00E+06,10000,5199
1,100,1,60,1.00E+06,1.00E+05,535.08
1,100,1,60,2.00E+06,1000,35379
1,100,1,60,2.00E+06,10000,5300.5
1,100,1,60,2.00E+06,1.00E+05,414.8
1,100,1,60,1.00E+07,1000,34747
1,100,1,60,1.00E+07,10000,4482.3
1,100,1,60,1.00E+07,1.00E+05,449.14
1,100,1,120,1.00E+05,1000,37293
1,100,1,120,1.00E+05,10000,5766.9
1,100,1,120,1.00E+05,1.00E+05,470.56
1,100,1,120,1.00E+06,1000,34960
1,100,1,120,1.00E+06,10000,4310
1,100,1,120,1.00E+06,1.00E+05,541.57
1,100,1,120,2.00E+06,1000,36062
1,100,1,120,2.00E+06,10000,4343.7
1,100,1,120,2.00E+06,1.00E+05,362.83
1,100,1,120,1.00E+07,1000,34219
1,100,1,120,1.00E+07,10000,3965.6
1,100,1,120,1.00E+07,1.00E+05,430.29
1,100,1,300,1.00E+05,1000,35867
1,100,1,300,1.00E+05,10000,6065.9
1,100,1,300,1.00E+05,1.00E+05,487.6
1,100,1,300,1.00E+06,1000,34776
1,100,1,300,1.00E+06,10000,5051.4
1,100,1,300,1.00E+06,1.00E+05,446.62
1,100,1,300,2.00E+06,1000,34607
1,100,1,300,2.00E+06,10000,4841.3
1,100,1,300,2.00E+06,1.00E+05,515.15
1,100,1,300,1.00E+07,1000,35496
1,100,1,300,1.00E+07,10000,4961.9
1,100,1,300,1.00E+07,1.00E+05,392.43
1,100,2,1,1.00E+05,1000,23128
1,100,2,1,1.00E+05,10000,4257.2
1,100,2,1,1.00E+05,1.00E+05,446.94
1,100,2,1,1.00E+06,1000,15776
1,100,2,1,1.00E+06,10000,3569.9
1,100,2,1,1.00E+06,1.00E+05,455.29
1,100,2,1,2.00E+06,1000,14719
1,100,2,1,2.00E+06,10000,3751.1
1,100,2,1,2.00E+06,1.00E+05,529.39
1,100,2,1,1.00E+07,1000,14629
1,100,2,1,1.00E+07,10000,3687.2
1,100,2,1,1.00E+07,1.00E+05,462.61
1,100,2,10,1.00E+05,1000,24588
1,100,2,10,1.00E+05,10000,7169.1
1,100,2,10,1.00E+05,1.00E+05,1079.7
1,100,2,10,1.00E+06,1000,18599
1,100,2,10,1.00E+06,10000,6484.4
1,100,2,10,1.00E+06,1.00E+05,968.71
1,100,2,10,2.00E+06,1000,18917
1,100,2,10,2.00E+06,10000,6035.9
1,100,2,10,2.00E+06,1.00E+05,1007.2
1,100,2,10,1.00E+07,1000,18534
1,100,2,10,1.00E+07,10000,6154.3
1,100,2,10,1.00E+07,1.00E+05,794.56
1,100,2,60,1.00E+05,1000,18904
1,100,2,60,1.00E+05,10000,6976.4
1,100,2,60,1.00E+05,1.00E+05,1171.5
1,100,2,60,1.00E+06,1000,19084
1,100,2,60,1.00E+06,10000,6919.4
1,100,2,60,1.00E+06,1.00E+05,1101.7
1,100,2,60,2.00E+06,1000,17821
1,100,2,60,2.00E+06,10000,6742.9
1,100,2,60,2.00E+06,1.00E+05,1028.8
1,100,2,60,1.00E+07,1000,17531
1,100,2,60,1.00E+07,10000,6209.6
1,100,2,60,1.00E+07,1.00E+05,1004.2
1,100,2,120,1.00E+05,1000,19087
1,100,2,120,1.00E+05,10000,7253.1
1,100,2,120,1.00E+05,1.00E+05,1140.4
1,100,2,120,1.00E+06,1000,17515
1,100,2,120,1.00E+06,10000,7135.1
1,100,2,120,1.00E+06,1.00E+05,935.5
1,100,2,120,2.00E+06,1000,18772
1,100,2,120,2.00E+06,10000,6281.6
1,100,2,120,2.00E+06,1.00E+05,961.92
1,100,2,120,1.00E+07,1000,18339
1,100,2,120,1.00E+07,10000,6266.7
1,100,2,120,1.00E+07,1.00E+05,942
1,100,2,300,1.00E+05,1000,18589
1,100,2,300,1.00E+05,10000,7328.7
1,100,2,300,1.00E+05,1.00E+05,1271.7
1,100,2,300,1.00E+06,1000,19273
1,100,2,300,1.00E+06,10000,7078.5
1,100,2,300,1.00E+06,1.00E+05,1189.6
1,100,2,300,2.00E+06,1000,19390
1,100,2,300,2.00E+06,10000,6853.6
1,100,2,300,2.00E+06,1.00E+05,1069.6
1,100,2,300,1.00E+07,1000,19466
1,100,2,300,1.00E+07,10000,6599.6
1,100,2,300,1.00E+07,1.00E+05,960.15
1,100,3,1,1.00E+05,1000,41528
1,100,3,1,1.00E+05,10000,40535
1,100,3,1,1.00E+05,1.00E+05,39312
1,100,3,1,1.00E+06,1000,36842
1,100,3,1,1.00E+06,10000,38192
1,100,3,1,1.00E+06,1.00E+05,39827
1,100,3,1,2.00E+06,1000,37916
1,100,3,1,2.00E+06,10000,40720
1,100,3,1,2.00E+06,1.00E+05,38732
1,100,3,1,1.00E+07,1000,35394
1,100,3,1,1.00E+07,10000,36052
1,100,3,1,1.00E+07,1.00E+05,35312
1,100,3,10,1.00E+05,1000,41474
