$a,$b,$c,$d,$e,$f,$g,$h,$i,$j,$k,<$a
1,0,0,1,0,0,0,1,0,0,0,208.37
1,0,1,1,1,0,0,1,0,0,0,212.94
1,1,0,1,0,0,0,1,0,0,0,210.24
1,1,1,1,1,0,0,1,0,0,0,214.72
1,0,0,0,1,0,0,1,0,0,0,210.71
1,1,0,0,1,0,0,1,0,0,0,212.52
1,0,0,1,1,0,0,1,0,0,0,211.19
1,1,0,1,1,0,0,1,0,0,0,212.94
1,0,1,0,1,0,0,1,0,0,0,214.25
1,0,1,1,1,0,0,1,0,0,0,215.85
1,1,1,0,1,0,0,1,0,0,0,215.88
1,1,1,1,1,0,0,1,0,0,0,217.29
1,0,0,0,0,0,1,1,0,0,0,208.99
1,1,0,0,0,0,1,1,0,0,0,211.27
1,0,1,0,1,0,1,1,0,0,0,212.93
1,1,1,0,1,0,1,1,0,0,0,214.34
1,0,0,0,1,0,1,1,0,0,0,211.59
1,0,1,0,1,0,1,1,0,0,0,215.31
1,1,0,0,1,0,1,1,0,0,0,213.85
1,1,1,0,1,0,1,1,0,0,0,216.84
1,0,0,1,0,0,1,1,0,0,0,209.84
1,1,0,1,0,0,1,1,0,0,0,211.59
1,0,0,1,1,0,1,1,0,0,0,212.45
1,1,0,1,1,0,1,1,0,0,0,214.15
1,0,1,1,1,0,1,1,0,0,0,214.31
1,0,1,1,1,0,1,1,0,0,0,216.91
1,1,1,1,1,0,1,1,0,0,0,215.74
1,1,1,1,1,0,1,1,0,0,0,218.15
1,0,0,0,0,1,0,1,0,0,0,209.58
1,1,0,0,0,1,0,1,0,0,0,211.74
1,0,1,0,1,1,0,1,0,0,0,213.6
1,1,1,0,1,1,0,1,0,0,0,214.89
1,0,0,1,0,1,0,1,0,0,0,211
1,0,1,1,1,1,0,1,0,0,0,215.01
1,1,0,1,0,1,0,1,0,0,0,212.05
1,1,1,1,1,1,0,1,0,0,0,216.37
1,0,0,0,0,1,1,1,0,0,0,210.51
1,1,0,0,0,1,1,1,0,0,0,212.71
1,0,0,1,0,1,1,1,0,0,0,211.48
1,1,0,1,0,1,1,1,0,0,0,213.1
1,0,1,0,1,1,1,1,0,0,0,214.41
1,0,1,1,1,1,1,1,0,0,0,215.73
1,1,1,0,1,1,1,1,0,0,0,215.95
1,1,1,1,1,1,1,1,0,0,0,217.24
1,0,0,0,1,1,0,1,0,0,0,212.44
1,1,0,0,1,1,0,1,0,0,0,214.38
1,0,1,0,1,1,0,1,0,0,0,215.94
1,1,1,0,1,1,0,1,0,0,0,217.47
1,0,0,0,1,1,1,1,0,0,0,213.41
1,0,1,0,1,1,1,1,0,0,0,216.92
1,1,0,0,1,1,1,1,0,0,0,215.37
1,1,1,0,1,1,1,1,0,0,0,218.23
1,0,0,1,1,1,0,1,0,0,0,213
1,1,0,1,1,1,0,1,0,0,0,214.48
1,0,0,1,1,1,1,1,0,0,0,214.05
1,1,0,1,1,1,1,1,0,0,0,215.47
1,0,1,1,1,1,0,1,0,0,0,217.29
1,0,1,1,1,1,1,1,0,0,0,218.32
1,1,1,1,1,1,0,1,0,0,0,218.62
1,1,1,1,1,1,1,1,0,0,0,219.64
1,0,0,0,0,0,0,0,1,0,0,216.4
1,1,0,0,0,0,0,0,1,0,0,218.82
1,0,1,0,1,0,0,0,1,0,0,219.28
1,1,1,0,1,0,0,0,1,0,0,221.38
1,0,0,1,0,0,0,0,1,0,0,217.29
1,0,1,1,1,0,0,0,1,0,0,220.4
1,1,0,1,0,0,0,0,1,0,0,219.39
1,1,1,1,1,0,0,0,1,0,0,222.43
1,0,0,0,1,0,0,0,1,0,0,218.1
1,1,0,0,1,0,0,0,1,0,0,220.42
1,0,0,1,1,0,0,0,1,0,0,218.89
1,1,0,1,1,0,0,0,1,0,0,221.17
1,0,1,0,1,0,0,0,1,0,0,221.01
1,0,1,1,1,0,0,0,1,0,0,222.09
1,1,1,0,1,0,0,0,1,0,0,223.3
1,1,1,1,1,0,0,0,1,0,0,224.07
1,0,0,0,0,1,0,0,1,0,0,217.7
1,1,0,0,0,1,0,0,1,0,0,219.97
1,0,1,0,1,1,0,0,1,0,0,220.39
1,1,1,0,1,1,0,0,1,0,0,222.52
1,0,0,0,1,1,0,0,1,0,0,219.33
1,0,1,0,1,1,0,0,1,0,0,222.19
1,1,0,0,1,1,0,0,1,0,0,221.73
1,1,1,0,1,1,0,0,1,0,0,224.18
1,0,0,1,0,1,0,0,1,0,0,218.56
1,1,0,1,0,1,0,0,1,0,0,220.57
1,0,0,1,1,1,0,0,1,0,0,220.21
1,1,0,1,1,1,0,0,1,0,0,222.27
1,0,1,1,1,1,0,0,1,0,0,221.26
1,0,1,1,1,1,0,0,1,0,0,223.07
1,1,1,1,1,1,0,0,1,0,0,223.29
1,1,1,1,1,1,0,0,1,0,0,224.95
1,0,0,0,0,0,0,1,1,0,0,224.49
1,1,0,0,0,0,0,1,1,0,0,227.01
1,0,1,0,1,0,0,1,1,0,0,227.4
1,1,1,0,1,0,0,1,1,0,0,229.28
1,0,0,1,0,0,0,1,1,0,0,224.99
1,0,1,1,1,0,0,1,1,0,0,228.65
1,1,0,1,0,0,0,1,1,0,0,227.15
1,1,1,1,1,0,0,1,1,0,0,230.54
1,0,0,0,0,1,0,1,1,0,0,226.13
1,1,0,0,0,1,0,1,1,0,0,228.65
1,0,0,1,0,1,0,1,1,0,0,226.57
1,1,0,1,0,1,0,1,1,0,0,228.47
1,0,1,0,1,1,0,1,1,0,0,229.07
1,0,1,1,1,1,0,1,1,0,0,230.47
1,1,1,0,1,1,0,1,1,0,0,230.79
1,1,1,1,1,1,0,1,1,0,0,232.12
1,0,0,0,1,0,0,1,1,0,0,226.88
1,1,0,0,1,0,0,1,1,0,0,229.19
1,0,1,0,1,0,0,1,1,0,0,229.64
1,1,1,0,1,0,0,1,1,0,0,231.39
1,0,0,0,1,1,0,1,1,0,0,228.27
1,0,1,0,1,1,0,1,1,0,0,231.25
1,1,0,0,1,1,0,1,1,0,0,230.77
1,1,1,0,1,1,0,1,1,0,0,232.76
1,0,0,1,1,0,0,1,1,0,0,227.19
1,1,0,1,1,0,0,1,1,0,0,229.12
1,0,0,1,1,1,0,1,1,0,0,228.86
1,1,0,1,1,1,0,1,1,0,0,230.69
1,0,1,1,1,0,0,1,1,0,0,230.94
1,0,1,1,1,1,0,1,1,0,0,232.29
1,1,1,1,1,0,0,1,1,0,0,232.52
1,1,1,1,1,1,0,1,1,0,0,234.08
1,0,0,0,0,0,1,0,1,0,0,217.09
1,1,0,0,0,0,1,0,1,0,0,219.4
1,0,1,0,1,0,1,0,1,0,0,219.75
1,1,1,0,1,0,1,0,1,0,0,221.78
1,0,0,1,0,0,1,0,1,0,0,217.9
1,0,1,1,1,0,1,0,1,0,0,220.86
1,1,0,1,0,0,1,0,1,0,0,219.91
1,1,1,1,1,0,1,0,1,0,0,222.82
1,0,0,0,1,0,1,0,1,0,0,218.73
1,1,0,0,1,0,1,0,1,0,0,221.06
1,0,0,1,1,0,1,0,1,0,0,219.63
1,1,0,1,1,0,1,0,1,0,0,221.62
1,0,1,0,1,0,1,0,1,0,0,221.44
1,0,1,1,1,0,1,0,1,0,0,222.37
1,1,1,0,1,0,1,0,1,0,0,223.42
1,1,1,1,1,0,1,0,1,0,0,224.33
1,0,0,0,0,0,1,1,1,0,0,225.34
1,1,0,0,0,0,1,1,1,0,0,227.75
1,0,1,0,1,0,1,1,1,0,0,228.26
1,1,1,0,1,0,1,1,1,0,0,230.08
1,0,0,0,1,0,1,1,1,0,0,227.73
1,0,1,0,1,0,1,1,1,0,0,230.57
1,1,0,0,1,0,1,1,1,0,0,230.14
1,1,1,0,1,0,1,1,1,0,0,232.14
1,0,0,1,0,0,1,1,1,0,0,225.8
1,1,0,1,0,0,1,1,1,0,0,227.53
1,0,0,1,1,0,1,1,1,0,0,227.99
1,1,0,1,1,0,1,1,1,0,0,229.95
1,0,1,1,1,0,1,1,1,0,0,229.56
1,0,1,1,1,0,1,1,1,0,0,231.69
1,1,1,1,1,0,1,1,1,0,0,231.21
1,1,1,1,1,0,1,1,1,0,0,233.28
1,0,0,0,0,1,1,0,1,0,0,218.12
1,1,0,0,0,1,1,0,1,0,0,220.37
1,0,1,0,1,1,1,0,1,0,0,220.8
1,1,1,0,1,1,1,0,1,0,0,222.9
1,0,0,1,0,1,1,0,1,0,0,219.08
1,0,1,1,1,1,1,0,1,0,0,221.86
1,1,0,1,0,1,1,0,1,0,0,220.98
1,1,1,1,1,1,1,0,1,0,0,223.77
1,0,0,0,0,1,1,1,1,0,0,226.75
1,1,0,0,0,1,1,1,1,0,0,229.3
1,0,0,1,0,1,1,1,1,0,0,227.29
1,1,0,1,0,1,1,1,1,0,0,228.97
1,0,1,0,1,1,1,1,1,0,0,229.68
1,0,1,1,1,1,1,1,1,0,0,230.82
1,1,1,0,1,1,1,1,1,0,0,231.2
1,1,1,1,1,1,1,1,1,0,0,232.66
1,0,0,0,1,1,1,0,1,0,0,219.87
1,1,0,0,1,1,1,0,1,0,0,222.16
1,0,1,0,1,1,1,0,1,0,0,222.56
1,1,1,0,1,1,1,0,1,0,0,224.51
1,0,0,0,1,1,1,1,1,0,0,229.21
1,0,1,0,1,1,1,1,1,0,0,231.77
1,1,0,0,1,1,1,1,1,0,0,231.33
1,1,1,0,1,1,1,1,1,0,0,233.28
1,0,0,1,1,1,1,0,1,0,0,220.82
1,1,0,1,1,1,1,0,1,0,0,222.63
1,0,0,1,1,1,1,1,1,0,0,229.55
1,1,0,1,1,1,1,1,1,0,0,231.16
1,0,1,1,1,1,1,0,1,0,0,223.52
1,0,1,1,1,1,1,1,1,0,0,232.96
1,1,1,1,1,1,1,0,1,0,0,225.16
1,1,1,1,1,1,1,1,1,0,0,234.68
1,0,0,0,0,0,0,0,0,1,0,219.15
1,1,0,0,0,0,0,0,0,1,0,224.43
1,0,1,0,1,0,0,0,0,1,0,223.68
1,1,1,0,1,0,0,0,0,1,0,227.85
1,0,0,1,0,0,0,0,0,1,0,221.33
1,0,1,1,1,0,0,0,0,1,0,224.73
1,1,0,1,0,0,0,0,0,1,0,225.62
1,1,1,1,1,0,0,0,0,1,0,229.17
1,0,0,0,1,0,0,0,0,1,0,221.25
1,1,0,0,1,0,0,0,0,1,0,226.5
1,0,0,1,1,0,0,0,0,1,0,223.49
1,1,0,1,1,0,0,0,0,1,0,227.78
1,0,1,0,1,0,0,0,0,1,0,225.5
1,0,1,1,1,0,0,0,0,1,0,226.57
1,1,1,0,1,0,0,0,0,1,0,229.79
1,1,1,1,1,0,0,0,0,1,0,230.74
1,0,0,0,0,1,0,0,0,1,0,222.24
1,1,0,0,0,1,0,0,0,1,0,227.39
1,0,1,0,1,1,0,0,0,1,0,225.41
1,1,1,0,1,1,0,0,0,1,0,229.68
1,0,0,0,1,1,0,0,0,1,0,224.34
1,0,1,0,1,1,0,0,0,1,0,227.18
1,1,0,0,1,1,0,0,0,1,0,229.24
1,1,1,0,1,1,0,0,0,1,0,231.34
1,0,0,1,0,1,0,0,0,1,0,223.21
1,1,0,1,0,1,0,0,0,1,0,227.44
1,0,0,1,1,1,0,0,0,1,0,225.26
1,1,0,1,1,1,0,0,0,1,0,229.31
1,0,1,1,1,1,0,0,0,1,0,226.58
1,0,1,1,1,1,0,0,0,1,0,228.34
1,1,1,1,1,1,0,0,0,1,0,230.65
1,1,1,1,1,1,0,0,0,1,0,232.2
1,0,0,0,0,0,1,0,0,1,0,221.61
1,1,0,0,0,0,1,0,0,1,0,226.7
1,0,1,0,1,0,1,0,0,1,0,224.53
1,1,1,0,1,0,1,0,0,1,0,228.94
1,0,0,1,0,0,1,0,0,1,0,222.56
1,0,1,1,1,0,1,0,0,1,0,225.69
1,1,0,1,0,0,1,0,0,1,0,226.65
1,1,1,1,1,0,1,0,0,1,0,229.86
1,0,0,0,0,1,1,0,0,1,0,223.01
1,1,0,0,0,1,1,0,0,1,0,227.94
1,0,0,1,0,1,1,0,0,1,0,223.98
1,1,0,1,0,1,1,0,0,1,0,227.91
1,0,1,0,1,1,1,0,0,1,0,226.09
1,0,1,1,1,1,1,0,0,1,0,227.03
1,1,1,0,1,1,1,0,0,1,0,230.31
1,1,1,1,1,1,1,0,0,1,0,231.19
1,0,0,0,1,0,1,0,0,1,0,223.34
1,1,0,0,1,0,1,0,0,1,0,228.28
1,0,1,0,1,0,1,0,0,1,0,226.13
1,1,1,0,1,0,1,0,0,1,0,230.59
1,0,0,0,1,1,1,0,0,1,0,224.88
1,0,1,0,1,1,1,0,0,1,0,227.64
1,1,0,0,1,1,1,0,0,1,0,229.82
1,1,1,0,1,1,1,0,0,1,0,231.8
1,0,0,1,1,0,1,0,0,1,0,224.3
1,1,0,1,1,0,1,0,0,1,0,228.56
1,0,0,1,1,1,1,0,0,1,0,225.77
1,1,0,1,1,1,1,0,0,1,0,230.13
1,0,1,1,1,0,1,0,0,1,0,227.12
1,0,1,1,1,1,1,0,0,1,0,228.72
1,1,1,1,1,0,1,0,0,1,0,231.31
1,1,1,1,1,1,1,0,0,1,0,232.7
1,0,0,0,0,0,0,0,1,1,0,234.87
1,1,0,0,0,0,0,0,1,1,0,240.16
1,0,1,0,1,0,0,0,1,1,0,238.78
1,1,1,0,1,0,0,0,1,1,0,242.92
1,0,0,1,0,0,0,0,1,1,0,236.89
1,0,1,1,1,0,0,0,1,1,0,239.66
1,1,0,1,0,0,0,0,1,1,0,241.7
1,1,1,1,1,0,0,0,1,1,0,244.5
1,0,0,0,1,0,0,0,1,1,0,237.75
1,1,0,0,1,0,0,0,1,1,0,242.79
1,0,0,1,1,0,0,0,1,1,0,239.27
1,1,0,1,1,0,0,0,1,1,0,243.37
1,0,1,0,1,0,0,0,1,1,0,241.02
1,0,1,1,1,0,0,0,1,1,0,241.97
1,1,1,0,1,0,0,0,1,1,0,245.16
1,1,1,1,1,0,0,0,1,1,0,245.94
1,0,0,0,0,0,1,0,1,1,0,238.1
1,1,0,0,0,0,1,0,1,1,0,242.81
1,0,1,0,1,0,1,0,1,1,0,240.22
1,1,1,0,1,0,1,0,1,1,0,244.49
1,0,0,0,1,0,1,0,1,1,0,239.93
1,0,1,0,1,0,1,0,1,1,0,242.09
1,1,0,0,1,0,1,0,1,1,0,244.59
1,1,1,0,1,0,1,0,1,1,0,246.03
1,0,0,1,0,0,1,0,1,1,0,238.7
1,1,0,1,0,0,1,0,1,1,0,242.56
1,0,0,1,1,0,1,0,1,1,0,240.41
1,1,0,1,1,0,1,0,1,1,0,244.26
1,0,1,1,1,0,1,0,1,1,0,241.33
1,0,1,1,1,0,1,0,1,1,0,242.86
1,1,1,1,1,0,1,0,1,1,0,245.22
1,1,1,1,1,0,1,0,1,1,0,246.76
1,0,0,0,0,1,0,0,1,1,0,238.73
1,1,0,0,0,1,0,0,1,1,0,243.52
1,0,1,0,1,1,0,0,1,1,0,240.98
1,1,1,0,1,1,0,0,1,1,0,244.73
1,0,0,1,0,1,0,0,1,1,0,239.37
1,0,1,1,1,1,0,0,1,1,0,241.7
1,1,0,1,0,1,0,0,1,1,0,243.12
1,1,1,1,1,1,0,0,1,1,0,245.76
1,0,0,0,0,1,1,0,1,1,0,239.56
1,1,0,0,0,1,1,0,1,1,0,244.28
1,0,0,1,0,1,1,0,1,1,0,240.21
1,1,0,1,0,1,1,0,1,1,0,243.96
1,0,1,0,1,1,1,0,1,1,0,241.83
1,0,1,1,1,1,1,0,1,1,0,242.74
1,1,1,0,1,1,1,0,1,1,0,245.7
1,1,1,1,1,1,1,0,1,1,0,246.48
1,0,0,0,1,1,0,0,1,1,0,240.34
1,1,0,0,1,1,0,0,1,1,0,245.2
1,0,1,0,1,1,0,0,1,1,0,242.43
1,1,1,0,1,1,0,0,1,1,0,246.5
1,0,0,0,1,1,1,0,1,1,0,241.23
1,0,1,0,1,1,1,0,1,1,0,243.26
1,1,0,0,1,1,1,0,1,1,0,246.16
1,1,1,0,1,1,1,0,1,1,0,247.28
1,0,0,1,1,1,0,0,1,1,0,240.98
1,1,0,1,1,1,0,0,1,1,0,244.61
1,0,0,1,1,1,1,0,1,1,0,241.78
1,1,0,1,1,1,1,0,1,1,0,245.6
1,0,1,1,1,1,0,0,1,1,0,243.44
1,0,1,1,1,1,1,0,1,1,0,244.23
1,1,1,1,1,1,0,0,1,1,0,247.17
1,1,1,1,1,1,1,0,1,1,0,248.02
1,0,0,0,0,0,0,1,0,1,0,230.17
1,1,0,0,0,0,0,1,0,1,0,236.24
1,0,1,0,1,0,0,1,0,1,0,233.67
1,1,1,0,1,0,0,1,0,1,0,238.62
1,0,0,1,0,0,0,1,0,1,0,231.04
1,0,1,1,1,0,0,1,0,1,0,235.17
1,1,0,1,0,0,0,1,0,1,0,235.92
1,1,1,1,1,0,0,1,0,1,0,239.98
1,0,0,0,1,0,0,1,0,1,0,232.86
1,1,0,0,1,0,0,1,0,1,0,238.78
1,0,0,1,1,0,0,1,0,1,0,233.43
1,1,0,1,1,0,0,1,0,1,0,238.25
1,0,1,0,1,0,0,1,0,1,0,235.97
1,0,1,1,1,0,0,1,0,1,0,237.44
1,1,1,0,1,0,0,1,0,1,0,240.99
1,1,1,1,1,0,0,1,0,1,0,242.16
1,0,0,0,0,1,0,1,0,1,0,232.33
1,1,0,0,0,1,0,1,0,1,0,238.25
1,0,1,0,1,1,0,1,0,1,0,235.35
1,1,1,0,1,1,0,1,0,1,0,240.23
1,0,0,0,1,1,0,1,0,1,0,234.65
1,0,1,0,1,1,0,1,0,1,0,237.87
1,1,0,0,1,1,0,1,0,1,0,240.99
1,1,1,0,1,1,0,1,0,1,0,242.55
1,0,0,1,0,1,0,1,0,1,0,232.96
1,1,0,1,0,1,0,1,0,1,0,237.69
1,0,0,1,1,1,0,1,0,1,0,235.53
1,1,0,1,1,1,0,1,0,1,0,240.05
1,0,1,1,1,1,0,1,0,1,0,237.04
1,0,1,1,1,1,0,1,0,1,0,239.32
1,1,1,1,1,1,0,1,0,1,0,241.57
1,1,1,1,1,1,0,1,0,1,0,244.03
1,0,0,0,0,0,0,1,1,1,0,244.91
1,1,0,0,0,0,0,1,1,1,0,251.58
1,0,1,0,1,0,0,1,1,1,0,247.5
1,1,1,0,1,0,0,1,1,1,0,253.05
1,0,0,1,0,0,0,1,1,1,0,245.32
1,0,1,1,1,0,0,1,1,1,0,248.97
1,1,0,1,0,0,0,1,1,1,0,250.62
1,1,1,1,1,0,0,1,1,1,0,253.96
1,0,0,0,0,1,0,1,1,1,0,246.94
1,1,0,0,0,1,0,1,1,1,0,253.26
1,0,0,1,0,1,0,1,1,1,0,247.27
1,1,0,1,0,1,0,1,1,1,0,252.14
1,0,1,0,1,1,0,1,1,1,0,249.57
1,0,1,1,1,1,0,1,1,1,0,250.68
1,1,1,0,1,1,0,1,1,1,0,254.26
1,1,1,1,1,1,0,1,1,1,0,255.47
1,0,0,0,1,0,0,1,1,1,0,247.08
1,1,0,0,1,0,0,1,1,1,0,253.64
1,0,1,0,1,0,0,1,1,1,0,249.81
1,1,1,0,1,0,0,1,1,1,0,255.02
1,0,0,0,1,1,0,1,1,1,0,249.12
1,0,1,0,1,1,0,1,1,1,0,251.52
1,1,0,0,1,1,0,1,1,1,0,255.47
1,1,1,0,1,1,0,1,1,1,0,256.45
1,0,0,1,1,0,0,1,1,1,0,247.72
1,1,0,1,1,0,0,1,1,1,0,252.68
1,0,0,1,1,1,0,1,1,1,0,249.34
1,1,0,1,1,1,0,1,1,1,0,254.14
1,0,1,1,1,0,0,1,1,1,0,251
1,0,1,1,1,1,0,1,1,1,0,252.58
1,1,1,1,1,0,0,1,1,1,0,256.18
1,1,1,1,1,1,0,1,1,1,0,257.51
1,0,0,0,0,0,1,1,0,1,0,231.33
1,1,0,0,0,0,1,1,0,1,0,237.5
1,0,1,0,1,0,1,1,0,1,0,234.55
1,1,1,0,1,0,1,1,0,1,0,239.56
1,0,0,1,0,0,1,1,0,1,0,231.91
1,0,1,1,1,0,1,1,0,1,0,235.97
1,1,0,1,0,0,1,1,0,1,0,236.84
1,1,1,1,1,0,1,1,0,1,0,240.83
1,0,0,0,1,0,1,1,0,1,0,234.25
1,1,0,0,1,0,1,1,0,1,0,240.62
1,0,0,1,1,0,1,1,0,1,0,235.03
1,1,0,1,1,0,1,1,0,1,0,239.79
1,0,1,0,1,0,1,1,0,1,0,237.52
1,0,1,1,1,0,1,1,0,1,0,239.06
1,1,1,0,1,0,1,1,0,1,0,242.5
1,1,1,1,1,0,1,1,0,1,0,243.78
1,0,0,0,0,0,1,1,1,1,0,246.73
1,1,0,0,0,0,1,1,1,1,0,253.15
1,0,1,0,1,0,1,1,1,1,0,249.39
1,1,1,0,1,0,1,1,1,1,0,254.34
1,0,0,0,1,0,1,1,1,1,0,248.89
1,0,1,0,1,0,1,1,1,1,0,251.41
1,1,0,0,1,0,1,1,1,1,0,255.39
1,1,1,0,1,0,1,1,1,1,0,256.47
1,0,0,1,0,0,1,1,1,1,0,247.08
1,1,0,1,0,0,1,1,1,1,0,252.06
1,0,0,1,1,0,1,1,1,1,0,249.28
1,1,0,1,1,0,1,1,1,1,0,254.13
1,0,1,1,1,0,1,1,1,1,0,250.49
1,0,1,1,1,0,1,1,1,1,0,252.51
1,1,1,1,1,0,1,1,1,1,0,255.36
1,1,1,1,1,0,1,1,1,1,0,257.54
1,0,0,0,0,1,1,1,0,1,0,233.74
1,1,0,0,0,1,1,1,0,1,0,240.07
1,0,1,0,1,1,1,1,0,1,0,236.95
1,1,1,0,1,1,1,1,0,1,0,241.9
1,0,0,1,0,1,1,1,0,1,0,234.34
1,0,1,1,1,1,1,1,0,1,0,238.46
1,1,0,1,0,1,1,1,0,1,0,239.24
1,1,1,1,1,1,1,1,0,1,0,243.28
1,0,0,0,0,1,1,1,1,1,0,248.54
1,1,0,0,0,1,1,1,1,1,0,254.89
1,0,0,1,0,1,1,1,1,1,0,248.81
1,1,0,1,0,1,1,1,1,1,0,253.65
1,0,1,0,1,1,1,1,1,1,0,251.01
1,0,1,1,1,1,1,1,1,1,0,252.14
1,1,1,0,1,1,1,1,1,1,0,255.87
1,1,1,1,1,1,1,1,1,1,0,256.97
1,0,0,0,1,1,1,1,0,1,0,236.23
1,1,0,0,1,1,1,1,0,1,0,242.46
1,0,1,0,1,1,1,1,0,1,0,239.51
1,1,1,0,1,1,1,1,0,1,0,244.25
1,0,0,0,1,1,1,1,1,1,0,250.73
1,0,1,0,1,1,1,1,1,1,0,253.1
1,1,0,0,1,1,1,1,1,1,0,257.17
1,1,1,0,1,1,1,1,1,1,0,258.05
1,0,0,1,1,1,1,1,0,1,0,236.89
1,1,0,1,1,1,1,1,0,1,0,241.69
1,0,0,1,1,1,1,1,1,1,0,250.86
1,1,0,1,1,1,1,1,1,1,0,255.62
1,0,1,1,1,1,1,1,0,1,0,240.54
1,0,1,1,1,1,1,1,1,1,0,254.24
1,1,1,1,1,1,1,1,0,1,0,245.34
1,1,1,1,1,1,1,1,1,1,0,258.83
1,0,0,0,0,0,0,0,0,0,1,212.45
1,1,0,0,0,0,0,0,0,0,1,213.27
1,0,1,0,1,0,0,0,0,0,1,215.61
1,1,1,0,1,0,0,0,0,0,1,216.64
1,0,0,1,0,0,0,0,0,0,1,213.53
1,0,1,1,1,0,0,0,0,0,1,216.59
1,1,0,1,0,0,0,0,0,0,1,214.33
1,1,1,1,1,0,0,0,0,0,1,217.4
1,0,0,0,1,0,0,0,0,0,1,214.37
1,1,0,0,1,0,0,0,0,0,1,215.13
1,0,0,1,1,0,0,0,0,0,1,215.29
1,1,0,1,1,0,0,0,0,0,1,216.22
1,0,1,0,1,0,0,0,0,0,1,217.55
1,0,1,1,1,0,0,0,0,0,1,218.43
1,1,1,0,1,0,0,0,0,0,1,218.4
1,1,1,1,1,0,0,0,0,0,1,219.5
1,0,0,0,0,1,0,0,0,0,1,213.48
1,1,0,0,0,1,0,0,0,0,1,214.28
1,0,1,0,1,1,0,0,0,0,1,216.72
1,1,1,0,1,1,0,0,0,0,1,217.68
1,0,0,0,1,1,0,0,0,0,1,215.19
1,0,1,0,1,1,0,0,0,0,1,218.3
1,1,0,0,1,1,0,0,0,0,1,216.23
1,1,1,0,1,1,0,0,0,0,1,219.31
