$a,$b,$c,$d,$e,$f,$g,$h,$i,$j,$k,<$b
1,1,1,1,1,1,1,0,0,0,0,29
1,0,0,0,0,0,0,1,0,0,0,15
1,1,0,0,0,0,0,1,0,0,0,15
1,0,1,0,1,0,0,1,0,0,0,14
1,1,1,0,1,0,0,1,0,0,0,13
1,0,0,1,0,0,0,1,0,0,0,15
1,0,1,1,1,0,0,1,0,0,0,14
1,1,0,1,0,0,0,1,0,0,0,14
1,1,1,1,1,0,0,1,0,0,0,13
1,0,0,0,1,0,0,1,0,0,0,15
1,1,0,0,1,0,0,1,0,0,0,15
1,0,0,1,1,0,0,1,0,0,0,14
1,1,0,1,1,0,0,1,0,0,0,14
1,0,1,0,1,0,0,1,0,0,0,14
1,0,1,1,1,0,0,1,0,0,0,14
1,1,1,0,1,0,0,1,0,0,0,14
1,1,1,1,1,0,0,1,0,0,0,14
1,0,0,0,0,0,1,1,0,0,0,15
1,1,0,0,0,0,1,1,0,0,0,15
1,0,1,0,1,0,1,1,0,0,0,14
1,1,1,0,1,0,1,1,0,0,0,14
1,0,0,0,1,0,1,1,0,0,0,15
1,0,1,0,1,0,1,1,0,0,0,14
1,1,0,0,1,0,1,1,0,0,0,15
1,1,1,0,1,0,1,1,0,0,0,14
1,0,0,1,0,0,1,1,0,0,0,14
1,1,0,1,0,0,1,1,0,0,0,15
1,0,0,1,1,0,1,1,0,0,0,15
1,1,0,1,1,0,1,1,0,0,0,15
1,0,1,1,1,0,1,1,0,0,0,14
1,0,1,1,1,0,1,1,0,0,0,14
1,1,1,1,1,0,1,1,0,0,0,14
1,1,1,1,1,0,1,1,0,0,0,14
1,0,0,0,0,1,0,1,0,0,0,15
1,1,0,0,0,1,0,1,0,0,0,15
1,0,1,0,1,1,0,1,0,0,0,14
1,1,1,0,1,1,0,1,0,0,0,14
1,0,0,1,0,1,0,1,0,0,0,14
1,0,1,1,1,1,0,1,0,0,0,14
1,1,0,1,0,1,0,1,0,0,0,15
1,1,1,1,1,1,0,1,0,0,0,14
1,0,0,0,0,1,1,1,0,0,0,15
1,1,0,0,0,1,1,1,0,0,0,15
1,0,0,1,0,1,1,1,0,0,0,14
1,1,0,1,0,1,1,1,0,0,0,15
1,0,1,0,1,1,1,1,0,0,0,14
1,0,1,1,1,1,1,1,0,0,0,14
1,1,1,0,1,1,1,1,0,0,0,14
1,1,1,1,1,1,1,1,0,0,0,14
1,0,0,0,1,1,0,1,0,0,0,15
1,1,0,0,1,1,0,1,0,0,0,15
1,0,1,0,1,1,0,1,0,0,0,14
1,1,1,0,1,1,0,1,0,0,0,14
1,0,0,0,1,1,1,1,0,0,0,15
1,0,1,0,1,1,1,1,0,0,0,14
1,1,0,0,1,1,1,1,0,0,0,15
1,1,1,0,1,1,1,1,0,0,0,14
1,0,0,1,1,1,0,1,0,0,0,15
1,1,0,1,1,1,0,1,0,0,0,15
1,0,0,1,1,1,1,1,0,0,0,15
1,1,0,1,1,1,1,1,0,0,0,14
1,0,1,1,1,1,0,1,0,0,0,14
1,0,1,1,1,1,1,1,0,0,0,14
1,1,1,1,1,1,0,1,0,0,0,14
1,1,1,1,1,1,1,1,0,0,0,14
1,0,0,0,0,0,0,0,1,0,0,29
1,1,0,0,0,0,0,0,1,0,0,29
1,0,1,0,1,0,0,0,1,0,0,29
1,1,1,0,1,0,0,0,1,0,0,29
1,0,0,1,0,0,0,0,1,0,0,29
1,0,1,1,1,0,0,0,1,0,0,29
1,1,0,1,0,0,0,0,1,0,0,29
1,1,1,1,1,0,0,0,1,0,0,29
1,0,0,0,1,0,0,0,1,0,0,29
1,1,0,0,1,0,0,0,1,0,0,29
1,0,0,1,1,0,0,0,1,0,0,29
1,1,0,1,1,0,0,0,1,0,0,29
1,0,1,0,1,0,0,0,1,0,0,29
1,0,1,1,1,0,0,0,1,0,0,29
1,1,1,0,1,0,0,0,1,0,0,29
1,1,1,1,1,0,0,0,1,0,0,29
1,0,0,0,0,1,0,0,1,0,0,29
1,1,0,0,0,1,0,0,1,0,0,29
1,0,1,0,1,1,0,0,1,0,0,29
1,1,1,0,1,1,0,0,1,0,0,29
1,0,0,0,1,1,0,0,1,0,0,29
1,0,1,0,1,1,0,0,1,0,0,29
1,1,0,0,1,1,0,0,1,0,0,29
1,1,1,0,1,1,0,0,1,0,0,29
1,0,0,1,0,1,0,0,1,0,0,29
1,1,0,1,0,1,0,0,1,0,0,29
1,0,0,1,1,1,0,0,1,0,0,29
1,1,0,1,1,1,0,0,1,0,0,29
1,0,1,1,1,1,0,0,1,0,0,29
1,0,1,1,1,1,0,0,1,0,0,29
1,1,1,1,1,1,0,0,1,0,0,29
1,1,1,1,1,1,0,0,1,0,0,29
1,0,0,0,0,0,0,1,1,0,0,18
1,1,0,0,0,0,0,1,1,0,0,18
1,0,1,0,1,0,0,1,1,0,0,18
1,1,1,0,1,0,0,1,1,0,0,18
1,0,0,1,0,0,0,1,1,0,0,19
1,0,1,1,1,0,0,1,1,0,0,19
1,1,0,1,0,0,0,1,1,0,0,19
1,1,1,1,1,0,0,1,1,0,0,18
1,0,0,0,0,1,0,1,1,0,0,18
1,1,0,0,0,1,0,1,1,0,0,19
1,0,0,1,0,1,0,1,1,0,0,19
1,1,0,1,0,1,0,1,1,0,0,18
1,0,1,0,1,1,0,1,1,0,0,19
1,0,1,1,1,1,0,1,1,0,0,19
1,1,1,0,1,1,0,1,1,0,0,18
1,1,1,1,1,1,0,1,1,0,0,18
1,0,0,0,1,0,0,1,1,0,0,18
1,1,0,0,1,0,0,1,1,0,0,18
1,0,1,0,1,0,0,1,1,0,0,19
1,1,1,0,1,0,0,1,1,0,0,18
1,0,0,0,1,1,0,1,1,0,0,18
1,0,1,0,1,1,0,1,1,0,0,19
1,1,0,0,1,1,0,1,1,0,0,19
1,1,1,0,1,1,0,1,1,0,0,18
1,0,0,1,1,0,0,1,1,0,0,19
1,1,0,1,1,0,0,1,1,0,0,19
1,0,0,1,1,1,0,1,1,0,0,19
1,1,0,1,1,1,0,1,1,0,0,18
1,0,1,1,1,0,0,1,1,0,0,19
1,0,1,1,1,1,0,1,1,0,0,19
1,1,1,1,1,0,0,1,1,0,0,18
1,1,1,1,1,1,0,1,1,0,0,18
1,0,0,0,0,0,1,0,1,0,0,29
1,1,0,0,0,0,1,0,1,0,0,29
1,0,1,0,1,0,1,0,1,0,0,29
1,1,1,0,1,0,1,0,1,0,0,29
1,0,0,1,0,0,1,0,1,0,0,29
1,0,1,1,1,0,1,0,1,0,0,29
1,1,0,1,0,0,1,0,1,0,0,29
1,1,1,1,1,0,1,0,1,0,0,29
1,0,0,0,1,0,1,0,1,0,0,29
1,1,0,0,1,0,1,0,1,0,0,29
1,0,0,1,1,0,1,0,1,0,0,29
1,1,0,1,1,0,1,0,1,0,0,29
1,0,1,0,1,0,1,0,1,0,0,29
1,0,1,1,1,0,1,0,1,0,0,29
1,1,1,0,1,0,1,0,1,0,0,29
1,1,1,1,1,0,1,0,1,0,0,29
1,0,0,0,0,0,1,1,1,0,0,18
1,1,0,0,0,0,1,1,1,0,0,18
1,0,1,0,1,0,1,1,1,0,0,18
1,1,1,0,1,0,1,1,1,0,0,19
1,0,0,0,1,0,1,1,1,0,0,18
1,0,1,0,1,0,1,1,1,0,0,18
1,1,0,0,1,0,1,1,1,0,0,18
1,1,1,0,1,0,1,1,1,0,0,19
1,0,0,1,0,0,1,1,1,0,0,18
1,1,0,1,0,0,1,1,1,0,0,19
1,0,0,1,1,0,1,1,1,0,0,18
1,1,0,1,1,0,1,1,1,0,0,19
1,0,1,1,1,0,1,1,1,0,0,18
1,0,1,1,1,0,1,1,1,0,0,18
1,1,1,1,1,0,1,1,1,0,0,19
1,1,1,1,1,0,1,1,1,0,0,19
1,0,0,0,0,1,1,0,1,0,0,29
1,1,0,0,0,1,1,0,1,0,0,29
1,0,1,0,1,1,1,0,1,0,0,29
1,1,1,0,1,1,1,0,1,0,0,29
1,0,0,1,0,1,1,0,1,0,0,29
1,0,1,1,1,1,1,0,1,0,0,29
1,1,0,1,0,1,1,0,1,0,0,29
1,1,1,1,1,1,1,0,1,0,0,29
1,0,0,0,0,1,1,1,1,0,0,18
1,1,0,0,0,1,1,1,1,0,0,18
1,0,0,1,0,1,1,1,1,0,0,18
1,1,0,1,0,1,1,1,1,0,0,19
1,0,1,0,1,1,1,1,1,0,0,18
1,0,1,1,1,1,1,1,1,0,0,18
1,1,1,0,1,1,1,1,1,0,0,19
1,1,1,1,1,1,1,1,1,0,0,19
1,0,0,0,1,1,1,0,1,0,0,29
1,1,0,0,1,1,1,0,1,0,0,29
1,0,1,0,1,1,1,0,1,0,0,29
1,1,1,0,1,1,1,0,1,0,0,29
1,0,0,0,1,1,1,1,1,0,0,18
1,0,1,0,1,1,1,1,1,0,0,18
1,1,0,0,1,1,1,1,1,0,0,18
1,1,1,0,1,1,1,1,1,0,0,19
1,0,0,1,1,1,1,0,1,0,0,29
1,1,0,1,1,1,1,0,1,0,0,29
1,0,0,1,1,1,1,1,1,0,0,18
1,1,0,1,1,1,1,1,1,0,0,19
1,0,1,1,1,1,1,0,1,0,0,29
1,0,1,1,1,1,1,1,1,0,0,18
1,1,1,1,1,1,1,0,1,0,0,29
1,1,1,1,1,1,1,1,1,0,0,19
1,0,0,0,0,0,0,0,0,1,0,29
1,1,0,0,0,0,0,0,0,1,0,29
1,0,1,0,1,0,0,0,0,1,0,29
1,1,1,0,1,0,0,0,0,1,0,29
1,0,0,1,0,0,0,0,0,1,0,29
1,0,1,1,1,0,0,0,0,1,0,29
1,1,0,1,0,0,0,0,0,1,0,29
1,1,1,1,1,0,0,0,0,1,0,28
1,0,0,0,1,0,0,0,0,1,0,29
1,1,0,0,1,0,0,0,0,1,0,29
1,0,0,1,1,0,0,0,0,1,0,29
1,1,0,1,1,0,0,0,0,1,0,29
1,0,1,0,1,0,0,0,0,1,0,29
1,0,1,1,1,0,0,0,0,1,0,29
1,1,1,0,1,0,0,0,0,1,0,29
1,1,1,1,1,0,0,0,0,1,0,29
1,0,0,0,0,1,0,0,0,1,0,29
1,1,0,0,0,1,0,0,0,1,0,29
1,0,1,0,1,1,0,0,0,1,0,28
1,1,1,0,1,1,0,0,0,1,0,28
1,0,0,0,1,1,0,0,0,1,0,29
1,0,1,0,1,1,0,0,0,1,0,29
1,1,0,0,1,1,0,0,0,1,0,28
1,1,1,0,1,1,0,0,0,1,0,28
1,0,0,1,0,1,0,0,0,1,0,29
1,1,0,1,0,1,0,0,0,1,0,29
1,0,0,1,1,1,0,0,0,1,0,29
1,1,0,1,1,1,0,0,0,1,0,28
1,0,1,1,1,1,0,0,0,1,0,29
1,0,1,1,1,1,0,0,0,1,0,29
1,1,1,1,1,1,0,0,0,1,0,29
1,1,1,1,1,1,0,0,0,1,0,28
1,0,0,0,0,0,1,0,0,1,0,29
1,1,0,0,0,0,1,0,0,1,0,29
1,0,1,0,1,0,1,0,0,1,0,29
1,1,1,0,1,0,1,0,0,1,0,28
1,0,0,1,0,0,1,0,0,1,0,29
1,0,1,1,1,0,1,0,0,1,0,29
1,1,0,1,0,0,1,0,0,1,0,29
1,1,1,1,1,0,1,0,0,1,0,28
1,0,0,0,0,1,1,0,0,1,0,29
1,1,0,0,0,1,1,0,0,1,0,28
1,0,0,1,0,1,1,0,0,1,0,29
1,1,0,1,0,1,1,0,0,1,0,29
1,0,1,0,1,1,1,0,0,1,0,28
1,0,1,1,1,1,1,0,0,1,0,29
1,1,1,0,1,1,1,0,0,1,0,28
1,1,1,1,1,1,1,0,0,1,0,28
1,0,0,0,1,0,1,0,0,1,0,29
1,1,0,0,1,0,1,0,0,1,0,28
1,0,1,0,1,0,1,0,0,1,0,29
1,1,1,0,1,0,1,0,0,1,0,28
1,0,0,0,1,1,1,0,0,1,0,28
1,0,1,0,1,1,1,0,0,1,0,29
1,1,0,0,1,1,1,0,0,1,0,28
1,1,1,0,1,1,1,0,0,1,0,28
1,0,0,1,1,0,1,0,0,1,0,28
1,1,0,1,1,0,1,0,0,1,0,28
1,0,0,1,1,1,1,0,0,1,0,28
1,1,0,1,1,1,1,0,0,1,0,28
1,0,1,1,1,0,1,0,0,1,0,29
1,0,1,1,1,1,1,0,0,1,0,29
1,1,1,1,1,0,1,0,0,1,0,28
1,1,1,1,1,1,1,0,0,1,0,28
1,0,0,0,0,0,0,0,1,1,0,29
1,1,0,0,0,0,0,0,1,1,0,29
1,0,1,0,1,0,0,0,1,1,0,28
1,1,1,0,1,0,0,0,1,1,0,28
1,0,0,1,0,0,0,0,1,1,0,29
1,0,1,1,1,0,0,0,1,1,0,28
1,1,0,1,0,0,0,0,1,1,0,29
1,1,1,1,1,0,0,0,1,1,0,28
1,0,0,0,1,0,0,0,1,1,0,29
1,1,0,0,1,0,0,0,1,1,0,29
1,0,0,1,1,0,0,0,1,1,0,29
1,1,0,1,1,0,0,0,1,1,0,29
1,0,1,0,1,0,0,0,1,1,0,28
1,0,1,1,1,0,0,0,1,1,0,28
1,1,1,0,1,0,0,0,1,1,0,28
1,1,1,1,1,0,0,0,1,1,0,28
1,0,0,0,0,0,1,0,1,1,0,28
1,1,0,0,0,0,1,0,1,1,0,28
1,0,1,0,1,0,1,0,1,1,0,28
1,1,1,0,1,0,1,0,1,1,0,28
1,0,0,0,1,0,1,0,1,1,0,28
1,0,1,0,1,0,1,0,1,1,0,28
1,1,0,0,1,0,1,0,1,1,0,28
1,1,1,0,1,0,1,0,1,1,0,28
1,0,0,1,0,0,1,0,1,1,0,28
1,1,0,1,0,0,1,0,1,1,0,28
1,0,0,1,1,0,1,0,1,1,0,28
1,1,0,1,1,0,1,0,1,1,0,28
1,0,1,1,1,0,1,0,1,1,0,28
1,0,1,1,1,0,1,0,1,1,0,28
1,1,1,1,1,0,1,0,1,1,0,28
1,1,1,1,1,0,1,0,1,1,0,28
1,0,0,0,0,1,0,0,1,1,0,28
1,1,0,0,0,1,0,0,1,1,0,28
1,0,1,0,1,1,0,0,1,1,0,28
1,1,1,0,1,1,0,0,1,1,0,28
1,0,0,1,0,1,0,0,1,1,0,28
1,0,1,1,1,1,0,0,1,1,0,28
1,1,0,1,0,1,0,0,1,1,0,28
1,1,1,1,1,1,0,0,1,1,0,28
1,0,0,0,0,1,1,0,1,1,0,28
1,1,0,0,0,1,1,0,1,1,0,28
1,0,0,1,0,1,1,0,1,1,0,28
1,1,0,1,0,1,1,0,1,1,0,28
1,0,1,0,1,1,1,0,1,1,0,28
1,0,1,1,1,1,1,0,1,1,0,28
1,1,1,0,1,1,1,0,1,1,0,28
1,1,1,1,1,1,1,0,1,1,0,28
1,0,0,0,1,1,0,0,1,1,0,28
1,1,0,0,1,1,0,0,1,1,0,28
1,0,1,0,1,1,0,0,1,1,0,28
1,1,1,0,1,1,0,0,1,1,0,28
1,0,0,0,1,1,1,0,1,1,0,28
1,0,1,0,1,1,1,0,1,1,0,28
1,1,0,0,1,1,1,0,1,1,0,28
1,1,1,0,1,1,1,0,1,1,0,28
1,0,0,1,1,1,0,0,1,1,0,28
1,1,0,1,1,1,0,0,1,1,0,28
1,0,0,1,1,1,1,0,1,1,0,28
1,1,0,1,1,1,1,0,1,1,0,28
1,0,1,1,1,1,0,0,1,1,0,28
1,0,1,1,1,1,1,0,1,1,0,28
1,1,1,1,1,1,0,0,1,1,0,28
1,1,1,1,1,1,1,0,1,1,0,28
1,0,0,0,0,0,0,1,0,1,0,16
1,1,0,0,0,0,0,1,0,1,0,16
1,0,1,0,1,0,0,1,0,1,0,15
1,1,1,0,1,0,0,1,0,1,0,15
1,0,0,1,0,0,0,1,0,1,0,15
1,0,1,1,1,0,0,1,0,1,0,15
1,1,0,1,0,0,0,1,0,1,0,15
1,1,1,1,1,0,0,1,0,1,0,15
1,0,0,0,1,0,0,1,0,1,0,16
1,1,0,0,1,0,0,1,0,1,0,16
1,0,0,1,1,0,0,1,0,1,0,15
1,1,0,1,1,0,0,1,0,1,0,15
1,0,1,0,1,0,0,1,0,1,0,15
1,0,1,1,1,0,0,1,0,1,0,15
1,1,1,0,1,0,0,1,0,1,0,15
1,1,1,1,1,0,0,1,0,1,0,15
1,0,0,0,0,1,0,1,0,1,0,16
1,1,0,0,0,1,0,1,0,1,0,16
1,0,1,0,1,1,0,1,0,1,0,15
1,1,1,0,1,1,0,1,0,1,0,15
1,0,0,0,1,1,0,1,0,1,0,16
1,0,1,0,1,1,0,1,0,1,0,15
1,1,0,0,1,1,0,1,0,1,0,16
1,1,1,0,1,1,0,1,0,1,0,15
1,0,0,1,0,1,0,1,0,1,0,15
1,1,0,1,0,1,0,1,0,1,0,15
1,0,0,1,1,1,0,1,0,1,0,16
1,1,0,1,1,1,0,1,0,1,0,15
1,0,1,1,1,1,0,1,0,1,0,15
1,0,1,1,1,1,0,1,0,1,0,15
1,1,1,1,1,1,0,1,0,1,0,15
1,1,1,1,1,1,0,1,0,1,0,15
1,0,0,0,0,0,0,1,1,1,0,19
1,1,0,0,0,0,0,1,1,1,0,19
1,0,1,0,1,0,0,1,1,1,0,19
1,1,1,0,1,0,0,1,1,1,0,19
1,0,0,1,0,0,0,1,1,1,0,19
1,0,1,1,1,0,0,1,1,1,0,19
1,1,0,1,0,0,0,1,1,1,0,19
1,1,1,1,1,0,0,1,1,1,0,19
1,0,0,0,0,1,0,1,1,1,0,20
1,1,0,0,0,1,0,1,1,1,0,20
1,0,0,1,0,1,0,1,1,1,0,20
1,1,0,1,0,1,0,1,1,1,0,20
1,0,1,0,1,1,0,1,1,1,0,20
1,0,1,1,1,1,0,1,1,1,0,20
1,1,1,0,1,1,0,1,1,1,0,20
1,1,1,1,1,1,0,1,1,1,0,20
1,0,0,0,1,0,0,1,1,1,0,19
1,1,0,0,1,0,0,1,1,1,0,19
1,0,1,0,1,0,0,1,1,1,0,19
1,1,1,0,1,0,0,1,1,1,0,19
1,0,0,0,1,1,0,1,1,1,0,20
1,0,1,0,1,1,0,1,1,1,0,20
1,1,0,0,1,1,0,1,1,1,0,20
1,1,1,0,1,1,0,1,1,1,0,20
1,0,0,1,1,0,0,1,1,1,0,19
1,1,0,1,1,0,0,1,1,1,0,19
1,0,0,1,1,1,0,1,1,1,0,20
1,1,0,1,1,1,0,1,1,1,0,20
1,0,1,1,1,0,0,1,1,1,0,19
1,0,1,1,1,1,0,1,1,1,0,20
1,1,1,1,1,0,0,1,1,1,0,19
1,1,1,1,1,1,0,1,1,1,0,20
1,0,0,0,0,0,1,1,0,1,0,16
1,1,0,0,0,0,1,1,0,1,0,16
1,0,1,0,1,0,1,1,0,1,0,15
1,1,1,0,1,0,1,1,0,1,0,15
1,0,0,1,0,0,1,1,0,1,0,15
1,0,1,1,1,0,1,1,0,1,0,15
1,1,0,1,0,0,1,1,0,1,0,15
1,1,1,1,1,0,1,1,0,1,0,15
1,0,0,0,1,0,1,1,0,1,0,16
1,1,0,0,1,0,1,1,0,1,0,16
1,0,0,1,1,0,1,1,0,1,0,15
1,1,0,1,1,0,1,1,0,1,0,15
1,0,1,0,1,0,1,1,0,1,0,15
1,0,1,1,1,0,1,1,0,1,0,15
1,1,1,0,1,0,1,1,0,1,0,15
1,1,1,1,1,0,1,1,0,1,0,15
1,0,0,0,0,0,1,1,1,1,0,20
1,1,0,0,0,0,1,1,1,1,0,19
1,0,1,0,1,0,1,1,1,1,0,20
1,1,1,0,1,0,1,1,1,1,0,19
1,0,0,0,1,0,1,1,1,1,0,20
1,0,1,0,1,0,1,1,1,1,0,20
1,1,0,0,1,0,1,1,1,1,0,19
1,1,1,0,1,0,1,1,1,1,0,19
1,0,0,1,0,0,1,1,1,1,0,20
1,1,0,1,0,0,1,1,1,1,0,20
1,0,0,1,1,0,1,1,1,1,0,20
1,1,0,1,1,0,1,1,1,1,0,20
1,0,1,1,1,0,1,1,1,1,0,20
1,0,1,1,1,0,1,1,1,1,0,20
1,1,1,1,1,0,1,1,1,1,0,20
1,1,1,1,1,0,1,1,1,1,0,20
1,0,0,0,0,1,1,1,0,1,0,16
1,1,0,0,0,1,1,1,0,1,0,16
1,0,1,0,1,1,1,1,0,1,0,15
1,1,1,0,1,1,1,1,0,1,0,15
1,0,0,1,0,1,1,1,0,1,0,15
1,0,1,1,1,1,1,1,0,1,0,15
1,1,0,1,0,1,1,1,0,1,0,15
1,1,1,1,1,1,1,1,0,1,0,15
1,0,0,0,0,1,1,1,1,1,0,20
1,1,0,0,0,1,1,1,1,1,0,19
1,0,0,1,0,1,1,1,1,1,0,20
1,1,0,1,0,1,1,1,1,1,0,20
1,0,1,0,1,1,1,1,1,1,0,20
1,0,1,1,1,1,1,1,1,1,0,20
1,1,1,0,1,1,1,1,1,1,0,20
1,1,1,1,1,1,1,1,1,1,0,20
1,0,0,0,1,1,1,1,0,1,0,16
1,1,0,0,1,1,1,1,0,1,0,16
1,0,1,0,1,1,1,1,0,1,0,15
1,1,1,0,1,1,1,1,0,1,0,15
1,0,0,0,1,1,1,1,1,1,0,20
1,0,1,0,1,1,1,1,1,1,0,20
1,1,0,0,1,1,1,1,1,1,0,19
1,1,1,0,1,1,1,1,1,1,0,20
1,0,0,1,1,1,1,1,0,1,0,15
1,1,0,1,1,1,1,1,0,1,0,15
1,0,0,1,1,1,1,1,1,1,0,20
1,1,0,1,1,1,1,1,1,1,0,20
1,0,1,1,1,1,1,1,0,1,0,15
1,0,1,1,1,1,1,1,1,1,0,20
1,1,1,1,1,1,1,1,0,1,0,15
1,1,1,1,1,1,1,1,1,1,0,20
1,0,0,0,0,0,0,0,0,0,1,26
1,1,0,0,0,0,0,0,0,0,1,26
1,0,1,0,1,0,0,0,0,0,1,26
1,1,1,0,1,0,0,0,0,0,1,26
1,0,0,1,0,0,0,0,0,0,1,26
1,0,1,1,1,0,0,0,0,0,1,26
1,1,0,1,0,0,0,0,0,0,1,26
1,1,1,1,1,0,0,0,0,0,1,26
1,0,0,0,1,0,0,0,0,0,1,26
1,1,0,0,1,0,0,0,0,0,1,27
1,0,0,1,1,0,0,0,0,0,1,26
1,1,0,1,1,0,0,0,0,0,1,26
1,0,1,0,1,0,0,0,0,0,1,26
1,0,1,1,1,0,0,0,0,0,1,26
1,1,1,0,1,0,0,0,0,0,1,26
1,1,1,1,1,0,0,0,0,0,1,26
1,0,0,0,0,1,0,0,0,0,1,28
1,1,0,0,0,1,0,0,0,0,1,29
1,0,1,0,1,1,0,0,0,0,1,29
1,1,1,0,1,1,0,0,0,0,1,28
1,0,0,0,1,1,0,0,0,0,1,29
1,0,1,0,1,1,0,0,0,0,1,29
1,1,0,0,1,1,0,0,0,0,1,28
1,1,1,0,1,1,0,0,0,0,1,28
1,0,0,1,0,1,0,0,0,0,1,28
1,1,0,1,0,1,0,0,0,0,1,28
1,0,0,1,1,1,0,0,0,0,1,29
1,1,0,1,1,1,0,0,0,0,1,29
1,0,1,1,1,1,0,0,0,0,1,28
1,0,1,1,1,1,0,0,0,0,1,29
1,1,1,1,1,1,0,0,0,0,1,28
1,1,1,1,1,1,0,0,0,0,1,28
1,0,0,0,0,0,1,0,0,0,1,29
1,1,0,0,0,0,1,0,0,0,1,29
1,0,1,0,1,0,1,0,0,0,1,27
1,1,1,0,1,0,1,0,0,0,1,28
1,0,0,1,0,0,1,0,0,0,1,28
1,0,1,1,1,0,1,0,0,0,1,27
1,1,0,1,0,0,1,0,0,0,1,29
1,1,1,1,1,0,1,0,0,0,1,28
1,0,0,0,0,1,1,0,0,0,1,29
1,1,0,0,0,1,1,0,0,0,1,28
1,0,0,1,0,1,1,0,0,0,1,28
1,1,0,1,0,1,1,0,0,0,1,28
1,0,1,0,1,1,1,0,0,0,1,28
1,0,1,1,1,1,1,0,0,0,1,28
1,1,1,0,1,1,1,0,0,0,1,28
1,1,1,1,1,1,1,0,0,0,1,28
1,0,0,0,1,0,1,0,0,0,1,29
1,1,0,0,1,0,1,0,0,0,1,28
1,0,1,0,1,0,1,0,0,0,1,27
1,1,1,0,1,0,1,0,0,0,1,28
1,0,0,0,1,1,1,0,0,0,1,29
1,0,1,0,1,1,1,0,0,0,1,29
1,1,0,0,1,1,1,0,0,0,1,28
1,1,1,0,1,1,1,0,0,0,1,28
1,0,0,1,1,0,1,0,0,0,1,28
1,1,0,1,1,0,1,0,0,0,1,29
1,0,0,1,1,1,1,0,0,0,1,29
1,1,0,1,1,1,1,0,0,0,1,28
1,0,1,1,1,0,1,0,0,0,1,29
1,0,1,1,1,1,1,0,0,0,1,29
1,1,1,1,1,0,1,0,0,0,1,27
1,1,1,1,1,1,1,0,0,0,1,28
1,0,0,0,0,0,0,1,0,0,1,14
1,1,0,0,0,0,0,1,0,0,1,14
1,0,1,0,1,0,0,1,0,0,1,14
1,1,1,0,1,0,0,1,0,0,1,14
1,0,0,1,0,0,0,1,0,0,1,14
