$a,$b,$c,<$b
0.875,0.38095238095238093,0.75,11.44961151
0.875,0.3333333333333333,0.5,11.68343715
0.875,0.3333333333333333,0.75,11.35608841
0.875,0.2857142857142857,0.5,10.81031837
0.875,0.2857142857142857,0.75,10.89274601
0.875,0.2222222222222222,0.5,10.75194128
0.875,0.2222222222222222,0.75,10.79590938
0.875,0.20634920634920634,0.5,10.75957087
0.875,0.20634920634920634,0.75,10.59315425
0.875,0.1111111111111111,0.5,9.970627688
0.875,0.1111111111111111,0.75,10.73711949
0.875,0.09523809523809523,0.5,10.17312412
0.875,0.09523809523809523,0.75,10.258294
1.0,0.38095238095238093,0.5,12.12185067
1.0,0.38095238095238093,0.75,11.73287415
1.0,0.3333333333333333,0.5,11.91089241
1.0,0.3333333333333333,0.75,11.88129476
1.0,0.2857142857142857,0.5,11.81792813
1.0,0.1111111111111111,0.5,10.96473646
1.0,0.1111111111111111,0.75,11.03878861
1.0,0.09523809523809523,0.5,10.52989738
1.0,0.09523809523809523,0.75,10.54260113
0.0,0.0,1.0,2.858160813
0.0,0.015873015873015872,1.0,3.83196978
0.0,0.047619047619047616,1.0,4.849816643
0.0,0.1111111111111111,1.0,5.773587653
0.0,0.23809523809523808,1.0,6.757812147
0.0,0.49206349206349204,1.0,7.586631221
0.0,1.0,1.0,8.757891433
0.125,0.0,1.0,3.866651431
0.125,0.015873015873015872,1.0,4.866478395
0.125,0.047619047619047616,1.0,5.849099186
0.125,0.1111111111111111,1.0,6.766133409
0.125,0.23809523809523808,1.0,7.730255858
0.125,0.49206349206349204,1.0,8.783424695
0.125,1.0,1.0,9.618118628
0.25,0.0,1.0,4.813273326
0.25,0.015873015873015872,1.0,5.841435146
0.25,0.047619047619047616,1.0,6.77445112
0.25,0.1111111111111111,1.0,7.71095525
0.25,0.23809523809523808,1.0,8.690660805
0.25,0.49206349206349204,1.0,9.663789749
0.25,1.0,1.0,10.37986031
0.375,0.0,1.0,5.793273955
0.375,0.015873015873015872,1.0,6.792616241
0.375,0.047619047619047616,1.0,7.654109752
0.375,0.1111111111111111,1.0,8.659608643
0.375,0.23809523809523808,1.0,9.621040101
0.375,0.49206349206349204,1.0,10.53302527
0.375,1.0,1.0,11.29721127
0.5,0.0,1.0,6.564959804
0.5,0.015873015873015872,1.0,7.448730092
0.5,0.047619047619047616,1.0,8.441542305
0.5,0.1111111111111111,1.0,9.433253026
0.5,0.23809523809523808,1.0,10.34300032
0.5,0.49206349206349204,1.0,11.00016159
0.5,1.0,1.0,12.29857337
0.625,0.0,1.0,6.804775887
0.625,0.015873015873015872,1.0,7.665281857
0.625,0.047619047619047616,1.0,8.565523889
0.625,0.1111111111111111,1.0,9.51180174
0.625,0.23809523809523808,1.0,10.22386568
0.625,1.0,1.0,12.64761208
0.75,0.0,1.0,6.942698771
0.75,0.015873015873015872,1.0,7.721985507
0.75,0.047619047619047616,1.0,8.566591824
0.75,0.1111111111111111,1.0,9.170858366
0.75,1.0,1.0,12.82026986
0.875,0.0,1.0,6.531198275
0.875,0.015873015873015872,1.0,7.558295565
0.875,0.047619047619047616,1.0,7.603452483
0.875,0.1111111111111111,1.0,7.679359363
1.0,0.0,1.0,7.537930924
1.0,0.015873015873015872,1.0,7.276899329
1.0,0.047619047619047616,1.0,7.802506965
